Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
ai 最新情報	0.00	0			5	709	0.71%	52	259	0.00%
python 入門	11.00	1675			123	11,372	1.08%	150	18424	8.94%
データサイエンティスト	2.00	1647			21	4,318	0.49%	157	3293	9.52%
deep learning 入門	1.00	4944			30	642	4.67%	165	4944	3.33%
python ディープラーニング	4.00	266			12	483	2.48%	89	1063	33.33%
ai プログラミング	45.00	1025			354	8,215	4.31%	130	46138	12.71%
人工 知能 会話	0.00	0			12	1,145	1.05%	86	1034	0.00%
ai 企業	0.00	0			5	300	1.67%	70	352	0.00%
ai ソフトウェア	3.00	3271			94	2,213	4.25%	104	9812	3.19%
ai 作成 ソフト	10.00	1199			99	1,351	7.33%	121	11992	10.10%
ai 自作	9.00	1630			146	2,172	6.72%	101	14673	6.16%
intelligence artificial	2.00	1617			48	2,681	1.79%	67	3234	4.17%
クラウド ai	5.35	508			17	973	1.75%	160	2713	31.45%
ai の 開発	2.00	443			8	236	3.39%	111	886	25.00%
学習 ai	0.00	0			14	542	2.58%	135	1883	0.00%
sony ai ツール	9.79	2180			149	1,098	13.57%	143	21333	6.57%
ai ツール フリー	12.00	602			42	905	4.64%	172	7226	28.57%
ai 作り方 スマホ	20.00	864			168	1,514	11.10%	103	17277	11.90%
ai 開発 ツール 無料	6.00	1247			45	627	7.18%	166	7480	13.33%
aiの学習	31.75	840			258	4,922	5.24%	103	26657	12.31%
ai 作曲	1.00	3321			46	2,335	1.97%	72	3321	2.17%
ai デモ	1.00	2355			11	273	4.03%	214	2355	9.09%
ai ボイス チェンジャー	1.00	3907			79	890	8.88%	49	3907	1.27%
ai 個人	0.00	0			7	199	3.52%	74	515	0.00%
ビッグデータとは	0.00	0			0	60	0.00%	0	0	0.00%
暗号化	0.00	0			2	521	0.38%	48	96	0.00%
人工知能 導入	0.00	0			0	11	0.00%	0	0	0.00%
機械学習 事例	0.00	0			0	6	0.00%	0	0	0.00%
モデル 体験	0.00	0			1	79	1.27%	199	199	0.00%
python 入門 本	0.00	0			0	188	0.00%	0	0	0.00%
人工知能 書籍	0.00	0			0	67	0.00%	0	0	0.00%
人工 知能 活用 事例	0.00	0			0	7	0.00%	0	0	0.00%
python 初心者 本	0.00	0			0	5	0.00%	0	0	0.00%
人工 知能 今後	0.00	0			0	18	0.00%	0	0	0.00%
パイソン 勉強	0.00	0			3	817	0.37%	33	100	0.00%
ビックデータ	0.00	0			6	911	0.66%	87	521	0.00%
